postal_code,district
1153,Nordstrand
1154,Nordstrand
1155,Nordstrand
1156,Nordstrand
1157,Nordstrand
1160,Nordstrand
1161,Nordstrand
1162,Nordstrand
1163,Nordstrand
1164,Nordstrand
1165,Nordstrand
1166,Nordstrand
1167,Nordstrand
1168,Nordstrand
1169,Nordstrand
1170,Nordstrand
1176,Nordstrand
1177,Nordstrand
1178,Nordstrand
1179,Nordstrand
1181,Nordstrand
1182,Nordstrand
1184,Nordstrand
1185,Nordstrand
1187,Nordstrand
1188,Nordstrand
1189,Nordstrand
1251,Søndre Nordstrand
1252,Søndre Nordstrand
1253,Søndre Nordstrand
1254,Søndre Nordstrand
1256,Søndre Nordstrand
1257,Søndre Nordstrand
1258,Søndre Nordstrand
1259,Søndre Nordstrand
1262,Søndre Nordstrand
1263,Søndre Nordstrand
1266,Søndre Nordstrand
1270,Søndre Nordstrand
1271,Søndre Nordstrand
1272,Søndre Nordstrand
1274,Søndre Nordstrand
1275,Søndre Nordstrand
1279,Søndre Nordstrand
1281,Søndre Nordstrand
1283,Søndre Nordstrand
1284,Søndre Nordstrand
1285,Søndre Nordstrand
1286,Søndre Nordstrand
1290,Søndre Nordstrand
